_station_id_	n	b	s	time	mean of n samples from s	stdev of n samples				_docks_available_	n	b	s	time	mean of n samples from s	stdev of n samples				id_0	n	b	s	time	mean of n samples from s	stdev of n samples				_bikes_available_	n	b	s	time	mean of n samples from s	stdev of n samples				
	424000	212000	2	4376	0.9986037735849057	0.35306016635548165					424000	212000	2	4376	6.674768867924528	14.59486571697649					424000	212000	2	4376	26526.150056603772	9378.421351370856					424000	212000	2	4376	6.8262476415094335	2.4135499226104007				
	424000	8153	52	1835	0.9977075471698114	0.027226072297706797					424000	8153	52	1835	7.755259433962264	0.6110990694068238					424000	8153	52	1835	1021.4368655660377	376.7187125770164					424000	8153	52	1835	5.74589858490566	0.17146789573416435				
	424000	4156	102	548	1.0000518867924528	0.02093136611340182					424000	4156	102	548	8.255483490566037	0.34386947180803573					424000	4156	102	549	520.2799268867925	198.71327686172216					424000	4156	102	549	5.245384433962264	0.12447945996278922				
	424000	2789	152	632	1.0018537735849056	0.01883831452989403					424000	2789	152	632	5.555525943396226	0.2505868009194754					424000	2789	152	632	348.47283490566036	138.24966338326075					424000	2789	152	632	7.931636792452831	0.12136403861354976				
	424000	2099	202	455	1.5018396226415094	0.019614326179092468					424000	2099	202	455	4.064639150943396	0.20231629104420615					424000	2099	202	455	263.24239150943396	108.27180882506795					424000	2099	202	455	3.420521226415094	0.10409224498315725				
	424000	1682	252	509	1.0025849056603773	0.018688281920325404					424000	1682	252	509	5.531042452830189	0.17669494232440194					424000	1682	252	509	210.23480896226414	90.65858697539578					424000	1682	252	509	7.946544811320755	0.10676399873830629				
	424000	1403	302	542	1.501054245283019	0.019303273133104506					424000	1403	302	542	4.84426179245283	0.1594373642822766					424000	1403	302	542	175.96972405660378	79.25623784551647					424000	1403	302	542	2.660997641509434	0.0961443957673108				
	424000	1204	352	469	1.4996533018867924	0.019773084357818375					424000	1204	352	469	2.8851320754716983	0.14504282960269882					424000	1204	352	469	150.84172405660377	71.38992648610771					424000	1204	352	469	4.621037735849057	0.09258968058809312				
	424000	1054	402	479	0.9997877358490566	0.01923833427906553					424000	1054	402	479	4.832193396226415	0.13687614086020516					424000	1054	402	479	132.10564858490565	65.71332604010699					424000	1054	402	479	8.66193396226415	0.09746467878604255				
	424000	938	452	567	1.4998584905660377	0.01965926192458738					424000	938	452	568	4.184924528301887	0.13014101772435044					424000	938	452	568	117.76969575471698	61.47584810535615					424000	938	452	568	3.3166698113207547	0.09269790178225916				
	424000	844	502	560	1.000622641509434	0.0192787304058464					424000	844	502	560	7.7574481132075475	0.12874556696815898					424000	844	502	560	106.1005070754717	58.226797100570785					424000	844	502	561	5.733240566037736	0.09242746301429079				
	424000	768	552	764	0.9998632075471698	0.01897959974187316					424000	768	552	764	7.082509433962264	0.127290249374975					424000	768	552	764	96.56134198113207	55.6808578858241					424000	768	552	764	6.419014150943396	0.09321152583549436				
	424000	704	602	1068	1.4991438679245284	0.019367864397453197					424000	704	602	1068	3.497691037735849	0.12302446335472264					424000	704	602	1068	88.34392688679246	53.64909335006206					424000	704	602	1068	3.996245283018868	0.09097103175281072				
	424000	650	652	2106	1.499051886792453	0.01971320648183374					424000	650	652	2106	3.7955943396226415	0.11976527057411303					424000	650	652	2107	81.39332075471698	52.00238339971773					424000	650	652	2107	3.7038349056603774	0.08879712268289494				
	424000	603	702	442	1.501316037735849	0.02002731406682706					424000	603	702	442	3.483919811320755	0.11682469126176791					424000	603	702	442	76.0041391509434	50.65009741777159					424000	603	702	442	4.023242924528302	0.08730232309975665				
	424000	563	752	539	1.001433962264151	0.01980833133410596					424000	563	752	539	7.218580188679245	0.11718143659841884					424000	563	752	539	70.80755660377359	49.52616135402372					424000	563	752	540	6.312191037735849	0.08833396668774515				
	424000	528	802	2898	1.0024811320754716	0.01962653575855552					424000	528	802	2898	5.100422169811321	0.11605703118037924					424000	528	802	2898	66.44820990566038	48.5823415548812					424000	528	802	2898	8.39831603773585	0.09136706981220298				
